clip_name,utterance,face_emotion,face_confidence,voice_emotion,voice_confidence,text_emotion,text_confidence,meld_emotion,conflicting_pairs,incongruent,venkat_label,sowmya_label
dia110_utt8,"Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used.",sadness,0.9284,neutral,0.4721,sadness,0.5264,disgust,[],False,False,False
dia233_utt10,"Yay, okay!",joy,0.9995,joy,0.9634,anger,0.3267,joy,[],False,False,False
dia695_utt4,Damn it!,anger,0.6845,joy,0.5031,neutral,0.0,joy,[],False,False,False
dia252_utt7,"Well I, I don't know. Why?",sadness,0.8111,neutral,0.5423,surprise,0.8886,neutral,['face-text'],True,True,False
dia728_utt0,I just walked in the bathroom and saw Kathy naked! It was like torture!,sadness,0.8399,anger,0.8381,disgust,0.9287,anger,"['face-voice', 'face-text', 'voice-text']",True,True,True
dia107_utt0,"Let it go, Ross.",fear,0.7915,anger,0.8918,anger,0.5304,neutral,['face-voice'],True,True,True
dia105_utt0,No-no. We,anger,0.5811,joy,0.4836,surprise,0.9133,fear,[],False,False,False
dia54_utt6,"You bet I am!  And to answer your earlier question, we’re straight-up gangster rap.",fear,0.9077,anger,0.482,neutral,0.8386,joy,['face-text'],True,True,False
dia744_utt3,Do you want a date Saturday?,surprise,0.9107,anger,0.9879,neutral,0.5264,neutral,['face-voice'],True,True,True
dia623_utt0,Ugh!,fear,0.4962,joy,0.9752,surprise,0.4689,disgust,[],False,False,True
dia758_utt2,She broke my arm.,sadness,0.5372,anger,0.9004,anger,0.7272,anger,[],False,False,False
dia623_utt18,"So you might say, it’s a magic ring.",neutral,0.6942,joy,0.634,neutral,0.9134,joy,"['face-voice', 'voice-text']",True,True,True
dia872_utt2,"Well, at least she had the chance to leave a man at the altar...",joy,0.9933,joy,0.6865,neutral,0.6649,joy,"['face-text', 'voice-text']",True,True,True
dia316_utt8,"What is the name of your roommate who is very, very sorry and would do anything",sadness,0.4752,joy,0.9072,sadness,0.4384,neutral,[],False,False,False
dia589_utt3,"Well, y’know I’m wearing layers and it’s warm.",sadness,0.9711,joy,0.9887,neutral,0.888,neutral,"['face-voice', 'face-text', 'voice-text']",True,True,True
dia354_utt17,You never know.,sadness,0.992,neutral,0.6874,sadness,0.3795,neutral,['face-voice'],True,True,True
dia260_utt5,"Yeah listen so, I thought I was getting better, so on my way home today I stopped by this guitar store and",anger,0.8916,sadness,0.5536,neutral,0.5523,neutral,[],False,False,False
dia943_utt0,"Okay, here’s batch 22.",sadness,0.8369,joy,0.8537,neutral,0.934,neutral,"['face-voice', 'face-text', 'voice-text']",True,True,True
dia250_utt6,"Well okay, let this be a lesson to all of you, all right.",fear,0.6321,joy,0.5965,neutral,0.4816,neutral,[],False,False,False
