clip_name,split,face_emotion,face_confidence,face_vector,voice_emotion,voice_confidence,voice_vector,text_emotion,text_confidence,text_vector,mas_face_voice,mas_face_text,mas_voice_text,incongruent,conflicting_pairs,dominant_modality,meld_emotion,meld_sentiment,utterance,speaker,dialogue_id,utterance_id
dia253_utt5,train,sadness,0.8044,"[0.0001, 0.0, 0.1858, 0.0, 0.0096, 0.8044, 0.0]",neutral,0.522,"[0.3037, 0.0, 0.0, 0.1737, 0.522, 0.0006, 0.0]",neutral,0.756,"[0.0133, 0.0564, 0.0048, 0.1416, 0.756, 0.0168, 0.0112]",0.0107,0.0341,0.8729,True,['face-text'],face,joy,positive,I don't allow porn at home so    this is like a vacation for him.,Janice,253,5
dia38_utt1,test,joy,0.3144,"[0.2177, 0.0, 0.0033, 0.3144, 0.2364, 0.2017, 0.0265]",joy,0.9138,"[0.0013, 0.0, 0.0, 0.9138, 0.0009, 0.084, 0.0]",joy,0.9037,"[0.0077, 0.0137, 0.001, 0.9037, 0.041, 0.0034, 0.0295]",0.6729,0.6648,0.9945,False,[],voice,joy,positive,"Awww, one of my students got an audition. I’m so proud.",Joey,38,1
dia422_utt6,train,anger,0.7368,"[0.7368, 0.0001, 0.213, 0.0006, 0.0006, 0.0222, 0.0267]",joy,0.9343,"[0.0, 0.0, 0.0, 0.9343, 0.0656, 0.0001, 0.0]",surprise,0.9696,"[0.0114, 0.0056, 0.0021, 0.0022, 0.0071, 0.0019, 0.9696]",0.0008,0.0468,0.0028,True,"['face-voice', 'face-text', 'voice-text']",text,surprise,positive,Really?,Chandler,422,6
dia95_utt7,train,sadness,0.721,"[0.0202, 0.0, 0.1679, 0.0, 0.0908, 0.721, 0.0]",anger,0.9768,"[0.9768, 0.0, 0.0, 0.0143, 0.0088, 0.0001, 0.0]",surprise,0.7185,"[0.1402, 0.055, 0.0131, 0.0047, 0.0609, 0.0076, 0.7185]",0.0283,0.0292,0.1911,True,"['face-voice', 'face-text', 'voice-text']",voice,surprise,negative,What are you talking about?!,Rachel,95,7
dia766_utt1,train,joy,0.6942,"[0.1218, 0.0, 0.0151, 0.6942, 0.066, 0.1023, 0.0005]",joy,0.8906,"[0.0429, 0.0, 0.0, 0.8906, 0.0391, 0.0274, 0.0]",joy,0.9661,"[0.0026, 0.0016, 0.0004, 0.9661, 0.0167, 0.0014, 0.0111]",0.9845,0.9724,0.9981,False,[],text,joy,positive,That’s great. Good for you guys.,Phoebe,766,1
dia837_utt0,train,neutral,0.4917,"[0.1536, 0.0, 0.0121, 0.0002, 0.4917, 0.3423, 0.0]",joy,0.9938,"[0.0, 0.0, 0.0, 0.9938, 0.0057, 0.0005, 0.0]",surprise,0.7368,"[0.0323, 0.0072, 0.0096, 0.0039, 0.2048, 0.0054, 0.7368]",0.0052,0.2273,0.0066,True,['voice-text'],voice,neutral,neutral,Who is it?,Ursula,837,0
dia254_utt7,train,joy,0.9962,"[0.0, 0.0, 0.0037, 0.9962, 0.0, 0.0, 0.0001]",anger,0.9718,"[0.9718, 0.0, 0.0, 0.0254, 0.0025, 0.0003, 0.0]",anger,0.7537,"[0.7537, 0.0821, 0.0519, 0.0201, 0.0481, 0.0178, 0.0263]",0.0261,0.0267,0.9891,True,"['face-voice', 'face-text']",face,neutral,neutral,Phoebe come here,Monica,254,7
dia263_utt7,train,sadness,0.5734,"[0.0389, 0.0, 0.0032, 0.0212, 0.3633, 0.5734, 0.0]",anger,0.4848,"[0.4848, 0.0, 0.0, 0.1242, 0.3906, 0.0004, 0.0]",disgust,0.4575,"[0.0401, 0.4575, 0.0249, 0.0061, 0.2069, 0.2441, 0.0203]",0.3789,0.5687,0.2841,False,[],face,disgust,negative,Well you should be embarrassed.,Monica,263,7
dia859_utt0,train,sadness,0.9345,"[0.0159, 0.0001, 0.0481, 0.0, 0.0014, 0.9345, 0.0001]",joy,0.7389,"[0.0688, 0.0, 0.0, 0.7389, 0.0326, 0.1596, 0.0]",surprise,0.8267,"[0.0492, 0.0185, 0.0094, 0.0249, 0.0427, 0.0286, 0.8267]",0.2114,0.0362,0.044,True,"['face-voice', 'face-text', 'voice-text']",face,surprise,positive,"Ursula!  Wait! Err-err, it’s me! Phoebe!",Phoebe,859,0
dia501_utt7,train,neutral,0.5738,"[0.0267, 0.0, 0.0051, 0.0, 0.5738, 0.3945, 0.0]",joy,0.5485,"[0.3617, 0.0, 0.0, 0.5485, 0.0835, 0.0063, 0.0]",neutral,0.3922,"[0.0319, 0.1612, 0.0267, 0.0067, 0.3922, 0.1805, 0.2008]",0.1302,0.8455,0.147,False,[],face,neutral,neutral,Oh.,Rachel,501,7
dia155_utt6,test,sadness,0.801,"[0.0023, 0.0001, 0.1965, 0.0, 0.0001, 0.801, 0.0]",neutral,0.9924,"[0.0006, 0.0, 0.0, 0.0069, 0.9924, 0.0001, 0.0]",anger,0.4355,"[0.4355, 0.2222, 0.0425, 0.0114, 0.2615, 0.0251, 0.0018]",0.0003,0.0642,0.4703,True,['face-voice'],voice,neutral,neutral,"Fine, you’re right.",Ross,155,6
